time,temperature_2m,relative_humidity_2m,precipitation,cloudcover,windspeed_10m,winddirection_10m,surface_pressure,weathercode
2025-05-31T07:00,26.8,87,0.0,74,3.9,68,1007.6,2
2025-05-31T08:00,27.4,83,0.0,82,4.7,90,1008.7,3
2025-05-31T09:00,27.9,83,0.1,82,7.1,120,1009.4,3
2025-05-31T10:00,28.4,81,0.2,76,8.4,130,1009.3,80
2025-05-31T11:00,29.0,77,0.3,77,10.2,129,1009.2,80
2025-05-31T12:00,29.4,75,0.2,77,11.4,125,1008.8,2
2025-05-31T13:00,29.5,74,0.1,69,12.3,122,1007.8,2
2025-05-31T14:00,29.6,74,0.0,88,13.3,123,1007.1,3
2025-05-31T15:00,29.4,76,0.0,64,12.8,122,1006.4,2
2025-05-31T16:00,29.2,76,0.0,74,13.4,121,1006.8,2
2025-05-31T17:00,28.7,79,0.1,73,13.4,121,1006.7,2
2025-05-31T18:00,28.2,82,0.4,73,12.4,120,1007.4,80
2025-05-31T19:00,27.9,84,0.5,79,11.4,114,1007.9,80
2025-05-31T20:00,27.8,84,0.5,81,9.7,105,1008.9,80
2025-05-31T21:00,27.6,84,0.5,79,8.3,92,1009.2,80
2025-05-31T22:00,27.4,85,0.6,100,6.8,87,1009.3,80
2025-05-31T23:00,27.3,86,0.5,100,5.8,83,1009.2,80
2025-05-31T02:00,28.4,81,0.1,76,8.4,130,1009.3,80
2025-05-31T04:15,29.3,75,0.0,82,12.0,129,1008.2,3
2025-05-31T09:15,28.3,81,0.0,77,13.1,122,1007.0,2
2025-06-02T16:30,26.9,84,0.0,94,4.3,42,1007.7,3
2025-06-02T16:45,26.8,84,0.0,94,4.1,45,1007.6,3
2025-06-02T17:00,26.8,84,0.0,99,4.1,45,1007.6,3
2025-06-02T18:15,26.5,85,0.0,100,3.7,29,1006.9,3
2025-06-03T02:00,28.2,77,0.0,83,12.4,107,1008.4,3
